id,sinif,mezmun_xetti,standart_kodu,standart_metni,alt_standart_kodu,alt_standart_metni,yaradilma_tarixi,pisa_seviyyesi,pirls_kateqoriya,bloom_seviyyesi,kod
82,3,Dil qaydaları,4.3,Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.,3-4.3.1,Dialoqda müvafiq durğu işarələrindən istifadə edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_III_4.3.1
83,3,Dil qaydaları,4.3,Punktuasiya: Yazıda punktuasiya qaydalarına əməl edir.,3-4.3.2,Mürəkkəb cümlədə durğu işarələrindən istifadə edir.,2026-03-17 19:59:43.623487,2,birbaşa anlama,tətbiq etmək,Az_dili_III_4.3.2
1,1,Dil qaydaları,4.1,Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,1-4.1.1,Söz tərkibindəki səs və hecaları müəyyən edir.,2026-03-17 19:59:43.623487,1b,məlumat alma,xatırlamaq,Az_dili_I_4.1.1
2,1,Dil qaydaları,4.1,Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,1-4.1.2,Hərflərin əlifba sırasını müəyyən edir.,2026-03-17 19:59:43.623487,1b,məlumat alma,xatırlamaq,Az_dili_I_4.1.2
3,1,Dil qaydaları,4.1,Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.,1-4.1.3,Yazıda sadə orfoqrafiya normalarına riayət edir.,2026-03-17 19:59:43.623487,1b,birbaşa anlama,tətbiq etmək,Az_dili_I_4.1.3
4,1,Dil qaydaları,4.2,"Qrammatika: Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir.",1-4.2.1,"Ad, əlamət, say, hərəkət bildirən sözlərin ümumi qrammatik mənalarını müəyyən edir.",2026-03-17 19:59:43.623487,1b,məlumat alma,xatırlamaq,Az_dili_I_4.2.1
5,1,Dil qaydaları,4.2,"Qrammatika: Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir.",1-4.2.2,"Mətndə cümlələri müəyyən edir, məqsəd və intonasiyaya görə fərqləndirir.",2026-03-17 19:59:43.623487,1a,məlumat alma,anlamaq,Az_dili_I_4.2.2
6,1,Dil qaydaları,4.3,Punktuasiya: Yazıda sadə punktuasiya qaydalarına əməl edir.,1-4.3.1,Cümlə sonunda müvafiq durğu işarələrindən istifadə edir.,2026-03-17 19:59:43.623487,1b,birbaşa anlama,tətbiq etmək,Az_dili_I_4.3.1
7,1,Dil qaydaları,4.4,Leksika: Sözlərin mənalarını anladığını nümayiş etdirir.,1-4.4.1,Sözün mənasını sadə üsullarla izah edir.,2026-03-17 19:59:43.623487,1b,məlumat alma,anlamaq,Az_dili_I_4.4.1
8,1,Dinləmə və danışma,1.1,"Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.",1-1.1.1,Dinlədiyi mətnlə bağlı sadə faktoloji suallara cavab verir.,2026-03-17 19:59:43.623487,1b,məlumat alma,xatırlamaq,Az_dili_I_1.1.1
9,1,Dinləmə və danışma,1.1,"Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.",1-1.1.2,Dinlədiyi mətndəki fakt və hadisələri şərh edir.,2026-03-17 19:59:43.623487,1b,şərh etmə,anlamaq,Az_dili_I_1.1.2
10,1,Dinləmə və danışma,1.1,"Dinləyib-anlama: Dinlədiyi məlumatı anlayır, izah edir və münasibət bildirir.",1-1.1.3,Dinlədiyi mətndəki obrazlara münasibət bildirir.,2026-03-17 19:59:43.623487,1a,qiymətləndirmə,anlamaq,Az_dili_I_1.1.3
11,1,Dinləmə və danışma,1.2,Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.,1-1.2.1,Müzakirə olunan məsələ ilə bağlı öz fikirlərini ifadə edir.,2026-03-17 19:59:43.623487,1b,şərh etmə,anlamaq,Az_dili_I_1.2.1
12,1,Dinləmə və danışma,1.2,Dialoji nitq: Müzakirə və dialoqlarda dinlədiyi fikirlərə adekvat reaksiya verir.,1-1.2.2,Hər hansı mövzuda dialoq qurur.,2026-03-17 19:59:43.623487,1a,şərh etmə,tətbiq etmək,Az_dili_I_1.2.2
13,1,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,1-1.3.1,Oxuduqlarını və dinlədiklərini rabitəli şəkildə təqdim edir.,2026-03-17 19:59:43.623487,1b,birbaşa anlama,anlamaq,Az_dili_I_1.3.1
14,1,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,1-1.3.2,Sadə sxemlər və komikslər üzrə danışır.,2026-03-17 19:59:43.623487,1b,məlumat alma,anlamaq,Az_dili_I_1.3.2
15,1,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,1-1.3.3,"Hər hansı hadisə, varlıq haqqında fikirlərini rabitəli cümlələrlə ifadə edir.",2026-03-17 19:59:43.623487,1a,şərh etmə,tətbiq etmək,Az_dili_I_1.3.3
16,1,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,1-1.3.4,Araşdırma nəticəsində əldə etdiyi məlumatları rabitəli şəkildə təqdim edir.,2026-03-17 19:59:43.623487,1a,inteqrasiya,tətbiq etmək,Az_dili_I_1.3.4
17,1,Dinləmə və danışma,1.3,Rabitəli nitq: Hər hansı mövzuda danışarkən rabitəli nitq nümayiş etdirir.,1-1.3.5,Dinlədiyi mətnin məzmunundan çıxış edərək onun davamını təxmin edir.,2026-03-17 19:59:43.623487,1a,şərh etmə,anlamaq,Az_dili_I_1.3.5
