"id","sinif","mezmun_xetti","standart_kodu","standart_metni","alt_standart_kodu","alt_standart_metni","deyisiklik_novu","kohne_metni","esaslandirma","beynelxalq_istinad","bloom_seviyyesi","pisa_elaqesi","pirls_elaqesi","cefr_seviyyesi","olke_istinadi","yaradilma_tarixi","versiya","status"
224,1,"Dil qaydaları","4.1","Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","1-4.1.1","Söz tərkibindəki səs və hecaları müəyyən edir.","movcud",NA,"CEFR A1 səviyyəsi üçün fundamental bacarıqdır. Finlandiya və Estoniya kimi ölkələrdə də oxşar fonetik mərhələ mövcuddur. PIRLS çərçəvəsində mətn dekodlaşdırması üçün zəruridir.",NA,"xatırlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.208475,1,"aktiv"
226,1,"Dil qaydaları","4.1","Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","1-4.1.3","Yazıda sadə orfoqrafiya normalarına riayət edir.","movcud",NA,"Yazılı kommunikasiya üçün vacibdir. Bloom taksonomiyasında tətbiq səviyyəsi yaş qrupu üçün münasibdir. CEFR A1 tələblərinə uyğundur.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.211971,1,"aktiv"
225,1,"Dil qaydaları","4.1","Orfoqrafiya: Dilin sadə fonetik qanunauyğunluqlarını izah edir və nitqində onlardan istifadə edir.","1-4.1.2","Hərflərin əlifba sırasını müəyyən edir.","movcud",NA,"Əlifba mənimsənilməsi bütün inkişaf etmiş ölkələrdə 1-ci sinif tələbidir. Lüğət və informasiya axtarışı üçün əsasdır. Kanada və Sinqapur standartlarında da mövcuddur.",NA,"xatırlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.2111,1,"aktiv"
227,1,"Dil qaydaları","4.2","Qrammatika: Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir.","1-4.2.1","Ad, əlamət, say, hərəkət bildirən sözlərin ümumi qrammatik mənalarını müəyyən edir.","movcud",NA,"Fundamental qrammatik anlayışların öyrənilməsi. Yaponiya (Kokugo) və Finlandiya standartlarında da müşahidə olunur. Dil sisteminin anlaşılması üçün zəruridir.",NA,"xatırlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.212975,1,"aktiv"
228,1,"Dil qaydaları","4.2","Qrammatika: Nitq vahidlərini (söz, cümlə) ümumi semantik mənalarına görə fərqləndirir.","1-4.2.2","Mətndə cümlələri müəyyən edir, məqsəd və intonasiyaya görə fərqləndirir.","movcud",NA,"Cümlə strukturunun anlaşılması mətn anlama üçün əsasdır. PIRLS çərçəvəsində mətn anlama komponentinə uyğundur. Bloom səviyyəsi yaş qrupuna münasibdir.",NA,"anlamaq",NA,NA,"A1",NA,2026-03-19 16:18:58.213809,1,"aktiv"
229,1,"Dil qaydaları","4.3","Punktuasiya: Yazıda sadə punktuasiya qaydalarına əməl edir.","1-4.3.1","Cümlə sonunda müvafiq durğu işarələrindən istifadə edir.","movcud",NA,"Yazılı kommunikasiya üçün vacib praktik bacarıqdır. CEFR A1 tələblərinə tam uyğundur. Tətbiq səviyyəsi yaş qrupu üçün münasibdir.",NA,"tətbiq etmək",NA,NA,"A1",NA,2026-03-19 16:18:58.214619,1,"aktiv"
259,1,"Dil qaydaları","4.4","Gündəlik həyatda istifadə olunan sadə sözlərin mənalarını kontekstə əsasən müəyyənləşdirir və öz sözləri ilə izah edir.","1-4.4.1","Vizual dəstəklə və ya sadə cümlələrdə verilən tanış sözlərin mənasını müəyyənləşdirir və misal verir.","yenilenib",NA,"CEFR A1 səviyyəsinə və PIRLS oxu anlama standartlarına uyğun olaraq kontekst əsaslı söz mənası anlayışı əlavə edildi. Finlandiya təcrübəsinə əsasən vizual dəstək komponenti daxil edildi.",NA,"anlama",NA,NA,"A1",NA,2026-03-19 16:18:58.238243,1,"aktiv"
219,1,"Dil qaydaları","4.5","Morfologiya: Sözlərin sadə morfoloji quruluşunu tanıyır və əsas sözəmələdici şəkilçiləri müəyyən edir.","4.5.1","Sözün kök və şəkilçi hissələrini ayırır","yeni",NA,"PIRLS-də söz quruluşu anlayışı və CEFR A1-də əsas morfoloji strukturlar",NA,"Analiz",NA,NA,"A1",NA,2026-03-19 15:51:37.529021,1,"aktiv"
175,1,"Dil qaydaları","4.5","Fonoloji şüur: Səsləri, hecanları fərqləndirir və sadə səs təhlili aparır.","4.5.1","Sözlərdə səs və heca sayını təyin edir","yeni",NA,"PIRLS tələblərinə görə fonoloji şüur əlifba mərhələsində kritik əhəmiyyətlidir",NA,"Təhlil",NA,NA,"A1",NA,2026-03-19 14:23:08.285545,1,"aktiv"
92,1,"Dil qaydaları","4.5","Mətn növləri: Müxtəlif mətn növlərinin (nəğmə, hekayə, məktub) xüsusiyyətlərini tanıyır.","4.5.1","Hekayə və məktubun fərqini başa düşür","yeni",NA,"PIRLS mətn növləri dərketməsi, janr dərketməsi bacarığı",NA,"Anlama",NA,NA,"A1",NA,2026-03-18 13:54:23.789044,1,"aktiv"
